OEIS %N name templates (>= 25 sequences sharing one abstracted name pattern)
===============================================================================

Method:
  All %N (name) fields of the 398,534 .seq files were extracted and
  normalized: lowercased; integer literals and spelled-out number words
  replaced by {pK} slots; references to other sequences (Annnnnn)
  replaced by {AK} slots.
  Names that then coincide belong to one template: its members differ only
  by the constant parameters (or small arithmetic expressions built on
  them) in those slots.

Stats:
  sequences total ............ 398,534
  distinct raw templates ..... 245,149
  templates with >= 25 ....... 704
  sequences covered by them .. 66,238 (16.6%)

Placeholders: {pK} = K-th integer constant, {AK} = K-th sequence reference.
Templates longer than 160 chars are truncated with '...'.

|  # | count | template | example members |
|  30 |   281 | column {p1} of triangle {A1} | A052309, A107882, A123308, A134091, A166903 |
|  31 |   275 | numbers whose base-{p1} representation has the same number of {p2}'s and {p3}'s | A039000, A039055, A039110, A039165, A039220 |
|  32 |   273 | expansion of {p1}/(({p2}-x^{p3})*({p4}-x^{p5})*({p6}-x^{p7})*({p8}-x^{p9})) | A008678, A029192, A029246, A029300, A029354 |
|  33 |   271 | records in {A1} | A060306, A114110, A154799, A276705, A355901 |
|  34 |   268 | binary representation of the x-axis, from the left edge to the origin, of the n-th stage of growth of the {p1}-dimensional cellular automaton defined by "rule {... | A272609, A279694, A281281, A282447, A283351 |
|  35 |   267 | binary representation of the x-axis, from the origin to the right edge, of the n-th stage of growth of the {p1}-dimensional cellular automaton defined by "rule... | A273531, A279717, A281286, A282483, A283356 |
|  36 |   263 | decimal representation of the x-axis, from the origin to the right edge, of the n-th stage of growth of the {p1}-dimensional cellular automaton defined by "rule... | A273911, A279723, A281311, A282493, A283353 |
|  37 |   261 | decimal representation of the x-axis, from the left edge to the origin, of the n-th stage of growth of the {p1}-dimensional cellular automaton defined by "rule... | A273972, A279718, A281287, A282484, A283293 |
|  38 |   258 | binary representation of the diagonal from the corner to the origin of the n-th stage of growth of the {p1}-dimensional cellular automaton defined by "rule {p2}... | A276540, A286638, A287626, A288365, A289577 |
|  39 |   258 | binary representation of the diagonal from the origin to the corner of the n-th stage of growth of the {p1}-dimensional cellular automaton defined by "rule {p2}... | A284040, A286639, A287627, A288398, A289578 |
|  40 |   254 | decimal representation of the diagonal from the origin to the corner of the n-th stage of growth of the {p1}-dimensional cellular automaton defined by "rule {p2... | A284042, A286671, A287713, A288404, A289765 |
|  41 |   251 | decimal representation of the diagonal from the corner to the origin of the n-th stage of growth of the {p1}-dimensional cellular automaton defined by "rule {p2... | A284041, A286674, A287720, A288437, A289768 |
|  42 |   249 | row sums of {A1} | A014622, A120459, A186431, A296665, A362307 |
|  43 |   248 | numbers n such that string {p1},{p2} occurs in the base {p3} representation of n but not of n-{p4} | A044055, A044152, A044222, A044314, A044379 |
|  44 |   243 | numbers k such that k and k^{p1} use only the digits {p2}, {p3}, {p4}, {p5} and {p6} | A136810, A136873, A136935, A137000, A137072 |
|  45 |   229 | number of base {p1} circular n-digit numbers with adjacent digits differing by {p2} or less | A124697, A124951, A125350, A125396, A125441 |
|  46 |   229 | number of nxnxn {p1}..{p2} triangular arrays with each element x equal to the number its neighbors equal to {p3},{p4},{p5},{p6},{p7},{p8},{p9} for x={p10},{p11}... | A195157, A197796, A197938, A198043, A203201 |
|  47 |   228 | position of n-th {p1} in {A1} | A020907, A030501, A031028, A031083, A031270 |
|  48 |   222 | a(n) = {A1}(n) - {A2}(n) | A055676, A139368, A233270, A283981, A344769 |
|  49 |   218 | number of nx{p1} {p2}..{p3} arrays with every element unequal to {p4}, {p5}, {p6}, {p7}, {p8} or {p9} king-move adjacent elements, with upper left element zero | A305518, A305910, A316118, A316306, A316549 |
|  50 |   217 | numbers k such that {p1}*{p2}^k+{p3} is prime | A032353, A032403, A032481, A319487, A323028 |
|  51 |   216 | number of nx{p1} {p2}..{p3} arrays with every element unequal to {p4}, {p5}, {p6}, {p7} or {p8} king-move adjacent elements, with upper left element zero | A304304, A304593, A304889, A305085, A305336 |
|  52 |   209 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6}, {p7} or {p8} king-move adjacent elements, with upper left element zero | A298189, A298326, A298499, A298624, A298773 |
|  53 |   207 | number of (n+{p1}) x ({p2}+{p3}) {p4}..{p5} arrays with every {p6} x {p7} subblock having its diagonal sum differing from its antidiagonal sum by {p8} (constant... | A234162, A234327, A234495, A234677, A234820 |
|  54 |   205 | expansion of {p1}/(({p2}-{p3}x)({p4}-{p5}x)({p6}-{p7}x)({p8}-{p9}x)) | A016091, A028033, A028077, A028122, A028167 |
|  55 |   204 | triangle of coefficients of polynomials u(n,x) jointly generated with {A1}; see the formula section | A185045, A208612, A209154, A209747, A210227 |
|  56 |   202 | a(n) = {A1}(n)/{p1} | A036826, A080484, A139481, A165013, A256030 |
|  57 |   200 | complement of {A1} | A003247, A136492, A187335, A187904, A325422 |
|  58 |   195 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6}, {p7}, {p8} or {p9} king-move adjacent elements, with upper left element zero | A298148, A299078, A299220, A299361, A299525 |
|  59 |   190 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A149919, A150259, A150435, A150747, A150821 |
|  60 |   190 | primes having only {{p1}, {p2}, {p3}, {p4}} as digits | A053580, A386048, A386086, A386124, A386162 |
|  61 |   188 | a(n) = n^{p1} mod {p2} | A053879, A070469, A070508, A070588, A070648 |
|  62 |   188 | triangle of coefficients of polynomials v(n,x) jointly generated with {A1}; see the formula section | A207615, A208760, A209416, A209760, A210550 |
|  63 |   187 | number of {p1}xn {p2}..{p3} arrays avoiding {p4} {p5} {p6} and {p7} {p8} {p9} horizontally and {p10} {p11} {p12} and {p13} {p14} {p15} vertically | A207026, A207392, A207602, A207776, A207951 |
|  64 |   183 | a(n) = {p1}*n + {p2} | A004767, A017365, A112414, A154519, A158310 |
|  65 |   182 | number of nx{p1} {p2}..{p3} arrays avoiding {p4} {p5} {p6} and {p7} {p8} {p9} horizontally and {p10} {p11} {p12} and {p13} {p14} {p15} vertically | A207021, A207439, A207713, A207881, A208037 |
|  66 |   181 | a(n) = {p1}^({p2}*n + {p3}) | A013710, A013754, A013796, A013837, A013875 |
|  67 |   176 | numbers k such that ({p1}*{p2}^k - {p3})/{p4} is prime | A056718, A280942, A286177, A293033, A294631 |
|  68 |   176 | primes in {A1} | A033563, A103385, A134071, A173769, A268520 |
|  69 |   170 | multiplicity of highest weight (or singular) vectors associated with character chi_{p1} of monster module | A034389, A034427, A034471, A034512, A034549 |
|  70 |   170 | number of n x n binary arrays symmetric under {p1} degree rotation with all ones connected only in a {p2}-{p3}-{p4} pattern in any orientation | A146177, A146435, A146680, A146877, A147237 |
|  71 |   169 | numbers k such that ({p1}*{p2}^k + {p3})/{p4} is prime | A059528, A275525, A282809, A290956, A294569 |
|  72 |   165 | numbers k such that {p1} and {p2} occur juxtaposed in the base-{p3} representation of k but not of k+{p4} | A043877, A043910, A043943, A043976, A044009 |
|  73 |   164 | a(n) = {p1}^n mod {p2} | A001218, A036153, A070360, A070392, A070425 |
|  74 |   164 | numbers k such that {p1} and {p2} occur juxtaposed in the base-{p3} representation of k but not of k-{p4} | A043097, A043129, A043161, A043193, A043225 |
|  75 |   160 | numbers k such that {p1}*{p2}^k + {p3} is prime | A002253, A053363, A084125, A274678, A290473 |
|  76 |   159 | numerator of euler(n, {p1}/{p2}) | A156182, A156374, A156777, A156975, A157380 |
|  77 |   147 | number of (n+{p1}) x ({p2}+{p3}) {p4}..{p5} arrays with every {p6} x {p7} subblock having its diagonal sum differing from its antidiagonal sum by {p8}, with no... | A234875, A234916, A235019, A235093, A235195 |
|  78 |   139 | a(n) = {p1}*n^{p2} - {p3}*n + {p4} | A027599, A156676, A157368, A157734, A185438 |
|  79 |   138 | expansion of {p1}/(({p2}-x^{p3})*({p4}-x^{p5})*({p6}-x^{p7})) | A008622, A025818, A025845, A025872, A025899 |
|  80 |   137 | fibonacci sequence beginning {p1}, {p2} | A022086, A022116, A022345, A022372, A022399 |
|  81 |   135 | [ exp({p1}/{p2})*n! ] | A030818, A030847, A030879, A030914, A030946 |
|  82 |   134 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with each {p6}x{p7} subblock having clockwise perimeter pattern {p8} {p9} or {p10} | A259889, A260068, A260279, A260540, A260974 |
|  83 |   133 | number of base {p1} n-digit numbers with adjacent digits differing by {p2} or less | A126358, A126386, A126417, A126498, A126525 |
|  84 |   131 | number of nx{p1} {p2}..{p3} arrays with every element unequal to {p4}, {p5}, {p6}, {p7}, {p8}, {p9} or {p10} king-move adjacent elements, with upper left elemen... | A316803, A316924, A317039, A317157, A317371 |
|  85 |   131 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A149923, A150252, A150407, A150615, A150806 |
|  86 |   130 | row {p1} of {A1} | A058794, A122313, A122339, A130343, A135269 |
|  87 |   128 | bisection of {A1} | A002286, A094157, A099997, A112047, A166095 |
|  88 |   128 | number of binary strings of length n with equal numbers of {p1} and {p2} substrings | A164137, A164162, A164187, A164212, A164237 |
|  89 |   126 | base {p1} digits are, in order, the first n terms of the periodic sequence with initial period {p2},{p3},{p4} | A033126, A037526, A037563, A037613, A037643 |
|  90 |   126 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6}, {p7}, {p8}, {p9} or {p10} king-move adjacent elements, with upper left element... | A299649, A299688, A299809, A299891, A300093 |
|  91 |   125 | indices of records in {A1} | A087663, A287636, A338360, A357129, A374232 |
|  92 |   125 | numbers that are congruent to {{p1}, {p2}, {p3}} mod {p4} | A008854, A047267, A047357, A047438, A047537 |
|  93 |   124 | binary representation of the n-th iteration of the "rule {p1}" elementary cellular automaton starting with a single on (black) cell | A260692, A266283, A266838, A267270, A267674 |
|  94 |   123 | number of permutations of floor(i*{p1}/{p2}), i={p3}..n-{p4}, with all sums of {p5} adjacent terms unique | A147885, A152324, A152349, A152375, A152640 |
|  95 |   122 | a(n) = {p1} written in base n | A094232, A095452, A095500, A095548, A095596 |
|  96 |   122 | numbers that are congruent to {{p1}, {p2}, {p3}, {p4}} mod {p5} | A032769, A047313, A047401, A047482, A047558 |
|  97 |   122 | {A1} * {A2} | A127332, A129236, A130298, A131254, A134308 |
|  98 |   121 | number of permutations of {p1}..n containing the relative rank sequence { {p2} } at any spacing | A158423, A159092, A159116, A159140, A159164 |
|  99 |   118 | indices of primes in sequence defined by a({p1}) = {p2}, a(n) = {p3}*a(n-{p4}) - {p5} for n > {p6} | A056251, A101064, A101524, A101713, A101840 |
| 100 |   116 | signature permutation of a catalan automorphism: row {p1} of {A1} | A130381, A130932, A130955, A130996, A131149 |
| 101 |   115 | expansion of {p1}/(({p2}-{p3}*x)*({p4}-{p5}*x)*({p6}-{p7}*x)*({p8}-{p9}*x)) | A016075, A025946, A025970, A025997, A028161 |
| 102 |   115 | number of n x {p1} {p2}..{p3} arrays avoiding {p4} {p5} {p6} and {p7} {p8} {p9} horizontally and {p10} {p11} {p12} and {p13} {p14} {p15} vertically | A207020, A207364, A207584, A207877, A208141 |
| 103 |   115 | primes of the form {p1}x^{p2}+{p3}xy+{p4}y^{p5} | A139828, A139883, A139944, A139996, A140041 |
| 104 |   114 | a(n) = ({p1}*n)^{p2} | A016744, A016804, A016919, A017076, A017280 |
| 105 |   114 | number of permutations of length n which avoid the patterns {p1}, {p2}, {p3} | A116711, A116744, A116767, A116792, A116816 |
| 106 |   114 | number of {p1}*n x n {p2}..{p3} arrays with row sums {p4} and column sums {p5} | A172546, A172587, A172668, A172756, A172836 |
| 107 |   114 | primes p such that x^{p1} = {p2} has a solution mod p | A040028, A040116, A040970, A049550, A049574 |
| 108 |   113 | primes p such that x^{p1} = {p2} has no solution mod p | A040034, A040121, A040973, A059236, A059335 |
| 109 |   113 | triangle read by rows giving successive states of cellular automaton generated by "rule {p1}" initiated with a single on (black) cell | A118102, A266282, A266840, A267272, A267679 |
| 110 |   112 | numbers whose base-{p1} representation contains exactly {p2} {p3}'s and {p4} {p5}'s | A044977, A045031, A045085, A045150, A045227 |
| 111 |   112 | numbers whose base-{p1} representation has exactly {p2} runs | A043569, A043591, A043613, A043635, A043657 |
| 112 |   110 | number of n x {p1} {p2}..{p3} arrays with each element x equal to the number its horizontal and vertical neighbors equal to {p4},{p5},{p6},{p7},{p8} for x={p9},... | A195971, A196455, A196742, A196984, A197403 |
| 113 |   110 | numbers having {p1} {p2}'s in base {p3} | A043322, A043383, A043440, A043471, A043500 |
| 114 |   110 | numbers k such that {p1}*{p2}^k - {p3} is prime | A001770, A056725, A102740, A280018, A290577 |
| 115 |   110 | record values in {A1} | A005211, A106531, A180040, A246347, A343718 |
| 116 |   110 | triangle whose (i,j)-th entry is binomial(i,j)*{p1}^(i-j)*{p2}^j | A038210, A038244, A038271, A038293, A038315 |
| 117 |   108 | a(n) = {p1}^n - n^{p2} | A024012, A024043, A024069, A024097, A024125 |
| 118 |   108 | decimal representation of the n-th iteration of the "rule {p1}" elementary cellular automaton starting with a single on (black) cell | A262860, A266382, A266873, A267274, A267678 |
| 119 |   108 | numbers k such that {A1}(k) = {p1} | A026601, A030774, A171241, A332206, A361347 |
| 120 |   107 | numbers k such that the k-th triangular number contains only digits {{p1},{p2},{p3}} | A119034, A119076, A119118, A119159, A119201 |
| 121 |   106 | a(n) = {p1} written in base {p2} - n | A095437, A095479, A095521, A095563, A095605 |
| 122 |   106 | numbers n such that {p1}*{p2}^n-{p3} is prime | A050537, A050571, A050617, A050862, A050900 |
| 123 |   106 | triangular numbers composed of digits {{p1},{p2},{p3}} | A119033, A119075, A119117, A119160, A119202 |
| 124 |   103 | positions of records in {A1} | A030712, A106172, A263926, A329051, A365342 |
| 125 |   102 | where records occur in {A1} | A004778, A096868, A126098, A151767, A261467 |
| 126 |   101 | a(n) = floor({p1}/n) | A033322, A033343, A033363, A033383, A033403 |
| 127 |   101 | numbers that are congruent to {{p1}, {p2}} mod {p3} | A047204, A047280, A047398, A047615, A151977 |
| 128 |   100 | number of {p1} x n {p2}..{p3} arrays avoiding {p4} {p5} {p6} and {p7} {p8} {p9} horizontally and {p10} {p11} {p12} and {p13} {p14} {p15} vertically | A207025, A207455, A207766, A208070, A208421 |
| 129 |   100 | numbers k such that the continued fraction for sqrt(k) has period {p1} | A010337, A020361, A020381, A020401, A020421 |
| 130 |    99 | a(n) = {p1}*n^{p2} + {p3} | A033562, A158482, A158591, A158665, A158768 |
| 131 |    99 | continued fraction for log({p1}) | A016441, A016460, A016479, A016498, A016517 |
| 132 |    99 | strong pseudoprimes to base {p1} | A001262, A020247, A020266, A020285, A020304 |
| 133 |    98 | a(n) = {p1}*n - {p2} | A060747, A156845, A157609, A157858, A158330 |
| 134 |    98 | decimal expansion of ({p1}+sqrt({p2}))/{p3} | A077451, A176107, A176516, A177270, A188658 |
| 135 |    98 | primes that remain prime through {p1} iterations of function f(x) = {p2}x + {p3} | A023242, A023270, A023291, A023311, A023332 |
| 136 |    98 | {p1}th cyclotomic polynomial | A010890, A011654, A016351, A016375, A016400 |
| 137 |    97 | decimal expansion of cube root of {p1} | A002580, A010594, A010613, A010632, A010651 |
| 138 |    97 | dimension of the space of weight n cuspidal newforms for gamma_{p1}( {p2} ) | A063276, A063295, A063315, A063334, A063353 |
| 139 |    97 | number of nx{p1} {p2}..{p3} arrays with every element unequal to {p4}, {p5}, {p6} or {p7} king-move adjacent elements, with upper left element zero | A303721, A303887, A304008, A304128, A304218 |
| 140 |    97 | numbers k such that {p1}*k + {p2} is prime | A024894, A105679, A108594, A111367, A158573 |
| 141 |    97 | pseudoprimes to base {p1} | A005935, A020151, A020170, A020189, A020208 |
| 142 |    96 | binomial transform of {A1} | A033193, A084213, A126082, A138035, A176027 |
| 143 |    96 | continued fraction for cube root of {p1} | A002945, A010252, A010271, A010290, A010309 |
| 144 |    96 | egyptian fraction representation for the cube root of {p1} | A129702, A132498, A132517, A132536, A132555 |
| 145 |    96 | number of n x n {p1}..{p2} arrays with row sums {p3} and column sums {p4} | A172534, A172627, A172735, A172859, A172921 |
| 146 |    96 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6} or {p7} king-move adjacent elements, with upper left element zero | A297884, A297938, A297985, A298069, A298137 |
| 147 |    96 | numbers k such that ({p1}^k - {p2}^k)/{p3} is prime | A082182, A128353, A377699, A385928, A391924 |
| 148 |    94 | a(n) = {p1}*{p2}^n - {p3} | A033484, A156760, A198848, A277106, A305065 |
| 149 |    94 | indices of primes in sequence defined by a({p1}) = {p2}, a(n) = {p3}*a(n-{p4}) + {p5} for n > {p6} | A056244, A101012, A101140, A101541, A101739 |
| 150 |    94 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148113, A149192, A149286, A149669, A149718 |
| 151 |    94 | primes having only {{p1}, {p2}, {p3}} as digits | A036953, A199349, A260271, A261184, A385779 |
| 152 |    94 | start with {p1} and repeatedly reverse the digits and add {p2} to get the next term | A117230, A118152, A118220, A118528, A118615 |
| 153 |    93 | decimal expansion of log({p1}) | A016627, A016647, A016666, A016684, A016703 |
| 154 |    93 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, {p7}, {p8}), (-{p9}, {p10}... | A148569, A149336, A149407, A149490, A149783 |
| 155 |    91 | expansion of {p1}/(({p2}-x)*({p3}-x^{p4})*({p5}-x^{p6})*({p7}-x^{p8})) | A008673, A029021, A029046, A029069, A029093 |
| 156 |    91 | numbers k such that the least term in the periodic part of the continued fraction for sqrt(k) is {p1} | A031428, A031706, A031724, A031742, A031760 |
| 157 |    91 | squares mod {p1} | A010375, A010393, A010411, A010429, A010447 |
| 158 |    90 | base {p1} digits are, in order, the first n terms of the periodic sequence with initial period {p2},{p3},{p4},{p5} | A037677, A037707, A037733, A037755, A037777 |
| 159 |    90 | expansion of {p1}/(({p2}-x)({p3}-{p4}x)({p5}-{p6}x)({p7}-{p8}x)) | A021054, A021354, A021694, A021884, A024438 |
| 160 |    90 | nonsquares mod {p1} | A028726, A028744, A028762, A028780, A028798 |
| 161 |    90 | numbers k such that string {p1},{p2} occurs in the base {p3} representation of k but not of k-{p4} | A044052, A044094, A044141, A044180, A044239 |
| 162 |    90 | numbers k such that the continued fraction for sqrt(k) has even period and if the last term of the periodic part is deleted the central term is {p1} | A031509, A031527, A031545, A031563, A031581 |
| 163 |    90 | numbers k such that the continued fraction for sqrt(k) has odd period and if the last term of the periodic part is deleted the {p1} central terms are both {p2} | A031599, A031617, A031635, A031653, A031671 |
| 164 |    90 | numbers k such that the period of the continued fraction for sqrt(k) contains exactly {p1} ones | A031779, A031797, A031815, A031833, A031851 |
| 165 |    89 | decimal expansion of square root of {p1} | A002163, A010479, A010496, A010514, A010532 |
| 166 |    89 | decimal expansion of {p1}/sqrt({p2}) | A010503, A020783, A020801, A020819, A020840 |
| 167 |    89 | number of n x n {p1}..{p2} arrays with each element x equal to the number of its horizontal and vertical neighbors equal to {p3},{p4},{p5},{p6},{p7} for x={p8},... | A195970, A196572, A196857, A197173, A197443 |
| 168 |    89 | numbers k such that k and k^{p1} use only the digits {p2}, {p3}, {p4} and {p5} | A136809, A136902, A136973, A137030, A137087 |
| 169 |    89 | primes with primitive root {p1} | A001122, A019350, A019367, A019384, A019401 |
| 170 |    88 | a(n) is the largest number such that all of a(n)'s length-n substrings are distinct and divisible by {p1} | A093211, A093228, A093246, A093263, A093280 |
| 171 |    88 | egyptian fraction representation of sqrt({p1}) ({A1}) using a greedy function | A248235, A248252, A248269, A248286, A248303 |
| 172 |    88 | primes of the form {p1}x^{p2} + {p3}y^{p4} | A084865, A107146, A107171, A107194, A107218 |
| 173 |    87 | number of nx{p1} {p2}..{p3} arrays with every element unequal to {p4}, {p5}, {p6} or {p7} horizontally, vertically or antidiagonally adjacent elements, with upp... | A318010, A318039, A318078, A318217, A318421 |
| 174 |    86 | numbers k such that {p1}^k + {p2} is prime | A049054, A090649, A156982, A219035, A248351 |
| 175 |    85 | number of n x n binary arrays symmetric about main diagonal with all ones connected only in a {p1}-{p2}-{p3} pattern in any orientation | A146174, A146432, A146677, A146874, A147234 |
| 176 |    85 | number of n x n binary arrays symmetric under horizontal reflection with all ones connected only in a {p1}-{p2}-{p3} pattern in any orientation | A146172, A146430, A146675, A146872, A147232 |
| 177 |    85 | number of ways to place zero or more nonadjacent {p1},{p2} {p3},{p4} {p5},{p6} {p7},{p8} {p9},{p10} {p11},{p12} {p13},{p14} {p15},{p16} polyhexes in any orienta... | A155355, A155374, A155391, A155412, A155432 |
| 178 |    84 | a(n) = {p1}^n + {p2}^n + {p3}^n | A001550, A074513, A074529, A074545, A074561 |
| 179 |    84 | decimal expansion of tangent of {p1} degrees | A019900, A019917, A019934, A019951, A019968 |
| 180 |    84 | number of n x n binary arrays symmetric about both diagonal and antidiagonal with all ones connected only in a {p1}-{p2}-{p3} pattern in any orientation | A146175, A146417, A146662, A146851, A147205 |
| 181 |    84 | number of n x n binary arrays with all ones connected only in a {p1}-{p2}-{p3} pattern in any orientation | A146171, A146413, A146658, A146847, A147201 |
| 182 |    84 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148511, A148640, A149157, A149291, A149341 |
| 183 |    83 | a(n) = {p1}*n^{p2} - {p3} | A000466, A157919, A158551, A158628, A158683 |
| 184 |    83 | primes of the form {p1}x^{p2}+{p3}y^{p4} | A107177, A139908, A139936, A139968, A140001 |
| 185 |    82 | a(n) = {p1}*n^{p2} + {p3}*n + {p4} | A006222, A106648, A154515, A157506, A185669 |
| 186 |    82 | number of n x n binary arrays symmetric under horizontal and vertical reflection with all ones connected only in a {p1}-{p2}-{p3} pattern in any orientation | A146173, A146415, A146660, A146841, A147187 |
| 187 |    82 | sprague-grundy values for octal game .{p1} | A071426, A071448, A071482, A071508, A125920 |
| 188 |    81 | a(n) = {A1}(n)/n | A061082, A078214, A084016, A112890, A242348 |
| 189 |    81 | decimal expansion of sine of {p1} degrees | A019811, A019828, A019845, A019862, A019880 |
| 190 |    81 | numbers k such that ({p1}^k + {p2}^k)/{p3} is prime | A082387, A128339, A227173, A381092, A389433 |
| 191 |    81 | numbers k such that {p1}^k - {p2}^k is prime | A057468, A062587, A062608, A062633, A062651 |
| 192 |    81 | numbers that are congruent to {{p1}, {p2}, {p3}, {p4}, {p5}} mod {p6} | A032796, A047326, A047427, A047501, A047561 |
| 193 |    80 | t(n,k)=number of nxk {p1}..{p2} arrays with each element x equal to the number of its horizontal and vertical neighbors equal to {p3},{p4},{p5},{p6},{p7} for x=... | A196078, A196578, A196922, A197250, A197537 |
| 194 |    79 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148111, A148929, A149198, A149310, A149693 |
| 195 |    79 | primes arising in {A1} | A036977, A083757, A087353, A089758, A099677 |
| 196 |    78 | number of n x n binary arrays symmetric about the diagonal and under {p1} degree rotation with all ones connected only in a {p2}-{p3}-{p4} pattern in any orient... | A146176, A146410, A146647, A146812, A147080 |
| 197 |    77 | mckay-thompson series of class {p1}a for monster | A007253, A058505, A058600, A058658, A058709 |
